Code,MEX
1960,63.0523
1961,65.2399
1962,63.7437
1963,66.2922
1964,74.2001
1965,75.1679
1966,80.8446
1967,90.0055
1968,93.8872
1969,102.1762
1970,113.9507
1971,126.1823
1972,132.2608
1973,144.0405
1974,154.7014
1975,164.1036
1976,183.6935
1977,192.3377
1978,222.0476
1979,240.1754
1980,267.6447
1981,283.5867
1982,303.7637
1983,277.4304
1984,276.491
1985,287.1811
1986,293.2193
1987,305.7901
1988,305.4181
1989,323.2163
1990,316.7458
1991,329.8275
1992,332.4533
1993,337.7219
1994,351.5339
1995,330.9053
1996,341.5439
1997,362.4625
1998,381.1018
1999,386.04
2000,391.4389
2001,407.4847
2002,410.301
2003,435.9687
2004,438.5884
2005,463.4319
2006,474.5191
2007,473.5953
2008,472.9813
2009,460.2935
2010,456.409
2011,483.3016
2012,501.4886
2013,495.4151
2014,484.0445
2015,479.4337
2016,478.8277
2017,464.4065
2018,468.4133
2019,468.2357
2020,428.9403
2021,446.8341
2022,465.3357
2023,482.6234
